"Country Name",Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2020
Panama,1133005,1314679,1519286,1745142,1978489,2219200,2470946,2739667,3030333,3330222,3642691,3968490,4314768
Peru,10155011,11711402,13459789,15424745,17547612,19772871,22071433,24299168,26459944,27866140,29027680,30470739,32971846
Philippines,26269741,30909997,35803591,41285741,47357741,54275836,61895169,69784087,77991757,86326251,93966784,102113206,109581085
Palau,9769,11005,11803,12898,12178,13534,15063,17158,19104,19784,17954,17665,18092
"Papua New Guinea",2255858,2485433,2783132,3139944,3571209,4081022,4615843,5187063,5847590,6494902,7310512,8107772,8947027
Poland,29637450,31444950,32664300,34015199,35574150,37201885,38110782,38594998,38258629,38165445,38042794,37986412,37899070
"Pre-demographic dividend",187617086,210865011,239204922,273877853,317462476,362177648,415057402,481049536,550660000,635451626,731868780,845759372,970795671
"Puerto Rico",2358000,2594000,2718000,2994000,3206000,3377000,3537000,3683103,3810605,3821362,3721525,3473232,3281538
"Korea, Dem. People's Rep.",11424189,12547524,14410391,16274737,17472144,18877226,20293057,21862300,22929078,23904167,24548840,25183832,25778815
Portugal,8857716,8998595,8680431,9093470,9766312,10023613,9983218,10026176,10289898,10503330,10573100,10358076,10297081
Paraguay,1903990,2172309,2474757,2791236,3181627,3676206,4223413,4776838,5323202,5824095,6248017,6688746,7132530
"West Bank and Gaza",,,,,,,1978248,2474666,2922153,3320396,3786161,4270092,4803269
"Pacific island small states",865064,1014633,1150712,1279519,1420314,1584644,1694327,1841674,1962451,2074776,2214509,2353578,2528958
"Post-demographic dividend",755229793,801098720,839822017,878890622,909890607,936241263,964174249,995310446,1020504874,1046366703,1074863836,1096949064,1116984877
"French Polynesia",78080,93442,110490,131229,153298,177024,199906,218064,240681,258780,266449,273119,280904
Qatar,47383,73631,109521,164314,223622,370886,476275,513447,592467,865410,1856329,2565708,2881060
Romania,18406905,19031576,20250398,21293583,22207282,22732999,23201835,22684270,22442971,21319685,20246871,19815616,19257520
"Russian Federation",119897000,126745000,130404000,134200000,139010000,143858000,147969407,148375787,146596869,143518814,142849468,144096870,144104080
Rwanda,2935575,3235536,3757351,4364709,5153314,6146884,7288883,5836490,7933688,8840220,10039338,11369066,12952209
"South Asia",572839530,637823175,713711358,800335570,900620583,1012942302,1133495194,1261587780,1390946065,1518861546,1638792927,1749417067,1856882402
"Saudi Arabia",4086534,4843632,5836388,7419486,9691471,13118998,16233786,18638790,20663840,23816175,27421468,31717676,34813867
Sudan,7544498,8770094,10281695,12144128,14507466,17210182,20147592,24094741,27275019,30949514,34545014,38902948,43849269
Senegal,3206757,3682879,4257508,4929846,5583157,6471329,7526306,8690155,9797731,11090123,12678143,14578450,16743930
Singapore,1646400,1886900,2074507,2262600,2413945,2735957,3047132,3524506,4027887,4265762,5076732,5535002,5685807
"Solomon Islands",117847,136815,160240,193401,230550,270787,311869,359276,412665,469918,527861,603133,686878
"Sierra Leone",2317638,2508226,2744890,3037158,3388494,3805304,4319763,4303953,4584570,5645629,6415636,7171909,7976985
"El Salvador",2766319,3201310,3673066,4154689,4591135,4936803,5270074,5628602,5887930,6052124,6183877,6325121,6486201
"San Marino",15440,17508,19224,19829,21453,22794,24124,25925,27460,29324,31221,33270,33938
Somalia,2755967,3068465,3444569,3880285,6281138,6648628,7225089,7491647,8872250,10446856,12043886,13797204,15893219
Serbia,6608000,6794000,6972000,7163000,7362000,7504000,7586000,7625357,7516346,7440769,7291436,7095383,6899126
"Sub-Saharan Africa (excluding high income)",227191484,256012349,290472633,332524189,383124954,441922760,509382368,583337983,665246457,758841806,868935345,995365079,1135948313
"South Sudan",2842718,3133155,3494011,3941613,4502603,5220748,5492620,5118084,6199396,7535931,9508372,10715657,11193729
"Sub-Saharan Africa",227233184,256059849,290526233,332583481,383188215,441988004,509451875,583413287,665327588,758924664,869025115,995458498,1136046775
"Small states",14211632,15621038,17073320,18688113,20501052,22740424,25134374,27247916,29393017,31746502,35238631,38524668,41901130
"Sao Tome and Principe",64294,64884,74570,83134,95788,104926,119211,131679,142264,157472,180372,199439,219161
Suriname,287870,328939,367926,359234,359531,368636,405169,441851,470944,499461,529126,559136,586634
"Slovak Republic",4068095,4370983,4538223,4739105,4979815,5161768,5299187,5361999,5388720,5372807,5391428,5423801,5458827
Slovenia,1584720,1649160,1724891,1793581,1901315,1941641,1998161,1989872,1988925,2000474,2048583,2063531,2102419
Sweden,7484656,7733853,8042801,8192437,8310531,8350386,8558835,8826939,8872109,9029572,9378126,9799186,10353442
Eswatini,336578,373925,431251,499759,587852,699077,822423,926836,1005432,1030575,1064841,1104038,1160164
"Sint Maarten (Dutch part)",2833,4460,6854,9556,13097,19127,28814,31164,30519,33011,34056,38825,42310
Seychelles,41700,47500,53600,59292,63261,65244,69507,75304,81131,82858,89770,93419,98462
"Syrian Arab Republic",4573514,5373137,6350544,7535715,8930776,10648633,12446168,14345491,16410847,18361178,21362541,17997411,17500657
